X,Y
10.000000000000005,[-0.30737886]
11.0,[-0.29982704]
11.0,[-0.30647787]
10.000000000000005,[-0.3228339]
9.000000000000002,[-0.33891398]
9.000000000000002,[-0.33091986]
7.999999999999998,[-0.35446084]
7.999999999999998,[-0.34646532]
7.000000000000003,[-0.3727843]
7.000000000000003,[-0.3594309]
5.999999999999999,[-0.34707078]
5.999999999999999,[-0.3992496]
5.000000000000004,[-0.4165509]
5.000000000000004,[-0.38448068]
4.000000000000001,[-0.43136087]
4.000000000000001,[-0.3992911]
2.999999999999998,[-0.44617036]
2.999999999999998,[-0.4173461]
2.0000000000000027,[-0.40671614]
2.0000000000000027,[-0.46658427]
0.9999999999999992,[-0.47298247]
0.9999999999999992,[-0.44010308]
0.0,[-0.469675]
0.0,[-0.4372743]
-0.9999999999999992,[-0.46636614]
-0.9999999999999992,[-0.43396637]
-1.9999999999999984,[-0.39788768]
-1.9999999999999984,[-0.46259817]
-2.999999999999998,[-0.4586633]
-2.999999999999998,[-0.42630738]
-4.000000000000001,[-0.45472756]
-4.000000000000001,[-0.42538542]
-5.0,[-0.4461396]
-5.0,[-0.42517242]
-5.999999999999999,[-0.38955748]
-5.999999999999999,[-0.4204676]
-6.999999999999998,[-0.38914683]
-6.999999999999998,[-0.3733921]
-7.999999999999998,[-0.3586665]
-7.999999999999998,[-0.34399542]
-9.000000000000002,[-0.3345741]
-9.000000000000002,[-0.32344773]
-10.0,[-0.29066437]
-10.0,[-0.313358]
-11.0,[-0.29214287]
-11.0,[-0.28080586]
-11.999999999999998,[-0.25899267]
-11.999999999999998,[-0.27092773]
-11.999999999999998,[-0.2470362]
-7.999999999999998,[-0.333235]
-4.000000000000001,[-0.39615658]
0.0,[-0.40473193]
4.000000000000001,[-0.36722183]
7.999999999999998,[-0.33308488]
11.999999999999995,[-0.2762851]
11.999999999999995,[-0.2842443]
11.999999999999995,[-0.29012185]
-11.999999999999998,[-0.05145514]
-11.999999999999998,[-0.05261527]
-11.999999999999998,[-0.05406485]
-11.999999999999998,[-0.0555149]
-11.999999999999998,[-0.05704139]
-11.999999999999998,[-0.05933369]
-11.999999999999998,[-0.05922555]
-11.999999999999998,[-0.05867834]
-11.999999999999998,[-0.0582127]
-11.999999999999998,[-0.057968]
-11.999999999999998,[-0.05772376]
-11.999999999999998,[-0.05747906]
-11.999999999999998,[-0.05723389]
-11.999999999999998,[-0.05853478]
-11.999999999999998,[-0.06016148]
-11.999999999999998,[-0.06178818]
-11.999999999999998,[-0.06382506]
-11.999999999999998,[-0.06987973]
-11.999999999999998,[-0.07621641]
-11.999999999999998,[-0.08160829]
-11.999999999999998,[-0.08548021]
-11.999999999999998,[-0.08935165]
-11.999999999999998,[-0.09322264]
-11.999999999999998,[-0.09709363]
-11.999999999999998,[-0.10096508]
-11.999999999999998,[-0.10482907]
-11.999999999999998,[-0.10861989]
-11.999999999999998,[-0.11214875]
-11.999999999999998,[-0.11617775]
-11.999999999999998,[-0.12182459]
-11.999999999999998,[-0.12747236]
-11.999999999999998,[-0.13311873]
-11.999999999999998,[-0.1415827]
-11.999999999999998,[-0.1520868]
-11.999999999999998,[-0.16092458]
-11.999999999999998,[-0.16921562]
-11.999999999999998,[-0.17750573]
-11.999999999999998,[-0.1857963]
-11.999999999999998,[-0.19468349]
-11.999999999999998,[-0.20542671]
-11.999999999999998,[-0.21616945]
-11.999999999999998,[-0.22686745]
-11.999999999999998,[-0.23677213]
-11.999999999999998,[-0.24667685]
-11.999999999999998,[-0.256582]
-11.999999999999998,[-0.26648623]
-11.999999999999998,[-0.2763914]
-11.999999999999998,[-0.28629515]
-11.999999999999998,[-0.2889221]
-11.999999999999998,[-0.28853384]
-11.999999999999998,[-0.29213122]
-11.999999999999998,[-0.29621196]
-11.999999999999998,[-0.30029315]
-11.999999999999998,[-0.3043748]
-11.999999999999998,[-0.3066368]
-11.999999999999998,[-0.3081125]
-11.999999999999998,[-0.3031457]
-11.999999999999998,[-0.29662305]
-11.999999999999998,[-0.2889673]
-11.999999999999998,[-0.28131202]
11.999999999999995,[-0.04846369]
11.999999999999995,[-0.05303197]
11.999999999999995,[-0.05760118]
11.999999999999995,[-0.06216992]
11.999999999999995,[-0.0667382]
11.999999999999995,[-0.07055838]
11.999999999999995,[-0.0743464]
11.999999999999995,[-0.07813489]
11.999999999999995,[-0.0819229]
11.999999999999995,[-0.08571139]
11.999999999999995,[-0.08751614]
11.999999999999995,[-0.08546203]
11.999999999999995,[-0.08340698]
11.999999999999995,[-0.08135193]
11.999999999999995,[-0.07929688]
11.999999999999995,[-0.07753594]
11.999999999999995,[-0.07992285]
11.999999999999995,[-0.08585495]
11.999999999999995,[-0.0920984]
11.999999999999995,[-0.09552379]
11.999999999999995,[-0.09884058]
11.999999999999995,[-0.10205902]
11.999999999999995,[-0.10780654]
11.999999999999995,[-0.1153411]
11.999999999999995,[-0.12250137]
11.999999999999995,[-0.12966071]
11.999999999999995,[-0.13682099]
11.999999999999995,[-0.14386381]
11.999999999999995,[-0.1508838]
11.999999999999995,[-0.15790284]
11.999999999999995,[-0.16492188]
11.999999999999995,[-0.17181508]
11.999999999999995,[-0.17857544]
11.999999999999995,[-0.18499368]
11.999999999999995,[-0.19077756]
11.999999999999995,[-0.19656096]
11.999999999999995,[-0.20312741]
11.999999999999995,[-0.21027325]
11.999999999999995,[-0.21741813]
11.999999999999995,[-0.22439058]
11.999999999999995,[-0.2311458]
11.999999999999995,[-0.23785722]
11.999999999999995,[-0.24457052]
11.999999999999995,[-0.25093377]
11.999999999999995,[-0.25506762]
11.999999999999995,[-0.25920057]
11.999999999999995,[-0.2633335]
11.999999999999995,[-0.26746643]
11.999999999999995,[-0.27250502]
11.999999999999995,[-0.27806982]
11.999999999999995,[-0.28363556]
11.999999999999995,[-0.28802717]
11.999999999999995,[-0.28949073]
11.999999999999995,[-0.2909543]
11.999999999999995,[-0.29241785]
11.999999999999995,[-0.2941555]
11.999999999999995,[-0.29702717]
11.999999999999995,[-0.29935396]
11.999999999999995,[-0.29599988]
-11.0,[-0.05338574]
-10.0,[-0.05531728]
-9.000000000000002,[-0.05613109]
-7.999999999999998,[-0.05689643]
-6.999999999999998,[-0.05777737]
-5.999999999999999,[-0.05860982]
-5.0,[-0.05947398]
-4.000000000000001,[-0.06115988]
-2.999999999999998,[-0.06193547]
-1.9999999999999984,[-0.06039593]
-0.9999999999999992,[-0.05950008]
0.0,[-0.06047191]
0.9999999999999992,[-0.06144373]
2.0000000000000027,[-0.06022581]
2.999999999999998,[-0.0555191]
4.000000000000001,[-0.05391337]
5.000000000000004,[-0.05247498]
5.999999999999999,[-0.05103659]
7.000000000000003,[-0.04959772]
7.999999999999998,[-0.04815886]
9.000000000000002,[-0.04672]
10.000000000000005,[-0.04554309]
11.0,[-0.04471856]
11.999999999999995,[-0.04389542]
-12.999999999999998,[-0.04947001]
-12.999999999999998,[-0.05088277]
-14.000000000000002,[-0.05023535]
-12.999999999999998,[-0.05378286]
-12.999999999999998,[-0.05552096]
-12.999999999999998,[-0.05691927]
-14.000000000000002,[-0.05478359]
-12.999999999999998,[-0.0565669]
-12.999999999999998,[-0.05632266]
-12.999999999999998,[-0.05607749]
-14.000000000000002,[-0.05394274]
-12.999999999999998,[-0.05558808]
-12.999999999999998,[-0.05534384]
-12.999999999999998,[-0.05509914]
-14.000000000000002,[-0.05296392]
-12.999999999999998,[-0.05531728]
-12.999999999999998,[-0.05694351]
-12.999999999999998,[-0.0603661]
-14.000000000000002,[-0.05757181]
-12.999999999999998,[-0.06905752]
-12.999999999999998,[-0.07292944]
-12.999999999999998,[-0.07679997]
-14.000000000000002,[-0.0681202]
-12.999999999999998,[-0.08454287]
-12.999999999999998,[-0.08841386]
-12.999999999999998,[-0.09225594]
-14.000000000000002,[-0.08953717]
-12.999999999999998,[-0.10321822]
-12.999999999999998,[-0.10931392]
-12.999999999999998,[-0.11518169]
-14.000000000000002,[-0.11391948]
-12.999999999999998,[-0.1264763]
-12.999999999999998,[-0.13212314]
-12.999999999999998,[-0.14090732]
-14.000000000000002,[-0.1402324]
-12.999999999999998,[-0.16019839]
-12.999999999999998,[-0.16848896]
-12.999999999999998,[-0.17677908]
-14.000000000000002,[-0.17870641]
-12.999999999999998,[-0.19731045]
-12.999999999999998,[-0.20792688]
-12.999999999999998,[-0.21776958]
-14.000000000000002,[-0.2188295]
-12.999999999999998,[-0.23732866]
-12.999999999999998,[-0.24710798]
-12.999999999999998,[-0.25688684]
-14.000000000000002,[-0.25527504]
-12.999999999999998,[-0.2732079]
-12.999999999999998,[-0.2749348]
-12.999999999999998,[-0.27736834]
-14.000000000000002,[-0.2607499]
-12.999999999999998,[-0.28092563]
-12.999999999999998,[-0.2831634]
-12.999999999999998,[-0.28485814]
-14.000000000000002,[-0.26604623]
-12.999999999999998,[-0.2857922]
-12.999999999999998,[-0.28082496]
-12.999999999999998,[-0.274066]
-14.000000000000002,[-0.24376275]
-12.999999999999998,[-0.25875404]
-12.999999999999998,[-0.24913508]
-12.999999999999998,[-0.23717858]
-14.000000000000002,[-0.20340848]
-18.0,[-0.06997715]
-18.0,[-0.05663355]
-16.0,[-0.06450649]
-16.0,[-0.09354006]
-14.000000000000002,[-0.11254402]
-14.000000000000002,[-0.09611575]
-11.999999999999998,[-0.10804845]
-11.999999999999998,[-0.1478033]
-10.0,[-0.13059059]
-10.0,[-0.1706391]
-7.999999999999998,[-0.10282716]
-7.999999999999998,[-0.1925893]
-5.999999999999999,[-0.15520503]
-5.999999999999999,[-0.20008656]
-4.000000000000001,[-0.16270277]
-4.000000000000001,[-0.20758383]
-1.9999999999999984,[-0.16973673]
-1.9999999999999984,[-0.21464156]
0.0,[-0.12862271]
0.0,[-0.21847387]
2.0000000000000027,[-0.17736077]
2.0000000000000027,[-0.22204421]
4.000000000000001,[-0.17501068]
4.000000000000001,[-0.21756169]
5.999999999999999,[-0.1575071]
5.999999999999999,[-0.19869897]
7.999999999999998,[-0.0974516]
7.999999999999998,[-0.17825615]
10.000000000000005,[-0.1255632]
10.000000000000005,[-0.16427027]
11.999999999999995,[-0.11157639]
11.999999999999995,[-0.15028438]
14.000000000000002,[-0.13629755]
14.000000000000002,[-0.09759003]
16.0,[-0.1200217]
16.0,[-0.04582788]
18.0,[-0.05700364]
18.0,[-0.09710854]
14.000000000000002,[-0.2451937]
12.999999999999998,[-0.26788872]
12.999999999999998,[-0.27376583]
12.999999999999998,[-0.277318]
14.000000000000002,[-0.2531198]
12.999999999999998,[-0.27350062]
12.999999999999998,[-0.27203706]
12.999999999999998,[-0.27057347]
14.000000000000002,[-0.24726553]
12.999999999999998,[-0.26764634]
12.999999999999998,[-0.26618278]
12.999999999999998,[-0.26131433]
14.000000000000002,[-0.23342738]
12.999999999999998,[-0.25018334]
12.999999999999998,[-0.24577913]
12.999999999999998,[-0.24164617]
14.000000000000002,[-0.21568656]
12.999999999999998,[-0.23337938]
12.999999999999998,[-0.22923851]
12.999999999999998,[-0.2246171]
14.000000000000002,[-0.19769779]
12.999999999999998,[-0.21104464]
12.999999999999998,[-0.20425819]
12.999999999999998,[-0.19747172]
14.000000000000002,[-0.1705524]
12.999999999999998,[-0.18344435]
12.999999999999998,[-0.17750573]
12.999999999999998,[-0.17172278]
14.000000000000002,[-0.14729665]
12.999999999999998,[-0.16015504]
12.999999999999998,[-0.15437163]
12.999999999999998,[-0.14925197]
14.000000000000002,[-0.13134101]
12.999999999999998,[-0.13606358]
12.999999999999998,[-0.12911491]
12.999999999999998,[-0.12216578]
14.000000000000002,[-0.10733531]
12.999999999999998,[-0.10877557]
12.999999999999998,[-0.10249716]
12.999999999999998,[-0.09809948]
14.000000000000002,[-0.08754691]
12.999999999999998,[-0.09153581]
12.999999999999998,[-0.08813979]
12.999999999999998,[-0.08347829]
14.000000000000002,[-0.06905892]
12.999999999999998,[-0.07241254]
12.999999999999998,[-0.07099279]
12.999999999999998,[-0.07304784]
14.000000000000002,[-0.06885337]
12.999999999999998,[-0.07715747]
12.999999999999998,[-0.07921205]
12.999999999999998,[-0.0812671]
14.000000000000002,[-0.07707264]
12.999999999999998,[-0.0799923]
12.999999999999998,[-0.07620382]
12.999999999999998,[-0.07241534]
14.000000000000002,[-0.06669672]
12.999999999999998,[-0.06483836]
12.999999999999998,[-0.06105081]
12.999999999999998,[-0.05677757]
14.000000000000002,[-0.05138383]
12.999999999999998,[-0.04763916]
12.999999999999998,[-0.04307088]
12.999999999999998,[-0.0385026]
11.999999999999995,[-0.03932574]
11.0,[-0.04015028]
10.000000000000005,[-0.03737697]
9.000000000000002,[-0.04276792]
