X,Y
10.000000000000005,[-0.45352733]
11.0,[-0.45313442]
11.0,[-0.48095563]
10.000000000000005,[-0.51345795]
9.000000000000002,[-0.545895]
9.000000000000002,[-0.51721567]
7.999999999999998,[-0.57833153]
7.999999999999998,[-0.54756224]
7.000000000000003,[-0.6147617]
7.000000000000003,[-0.58328575]
5.999999999999999,[-0.590598]
5.999999999999999,[-0.6535317]
5.000000000000004,[-0.68938994]
5.000000000000004,[-0.6590657]
4.000000000000001,[-0.72048134]
4.000000000000001,[-0.6776544]
2.999999999999998,[-0.735145]
2.999999999999998,[-0.6896766]
2.0000000000000027,[-0.6395043]
2.0000000000000027,[-0.73843426]
0.9999999999999992,[-0.73511934]
0.9999999999999992,[-0.6884531]
0.0,[-0.7391255]
0.0,[-0.69306284]
-0.9999999999999992,[-0.7242638]
-0.9999999999999992,[-0.67755467]
-1.9999999999999984,[-0.61437994]
-1.9999999999999984,[-0.70779824]
-2.999999999999998,[-0.6923935]
-2.999999999999998,[-0.64555293]
-4.000000000000001,[-0.67742413]
-4.000000000000001,[-0.6312804]
-5.0,[-0.6610644]
-5.0,[-0.61996156]
-5.999999999999999,[-0.564341]
-5.999999999999999,[-0.62951106]
-6.999999999999998,[-0.59116757]
-6.999999999999998,[-0.56565964]
-7.999999999999998,[-0.552825]
-7.999999999999998,[-0.52731705]
-9.000000000000002,[-0.51448244]
-9.000000000000002,[-0.488974]
-10.0,[-0.43776232]
-10.0,[-0.47613984]
-11.0,[-0.44713566]
-11.0,[-0.43480536]
-11.999999999999998,[-0.41868564]
-11.999999999999998,[-0.43184793]
-11.999999999999998,[-0.40575877]
-7.999999999999998,[-0.50180954]
-4.000000000000001,[-0.5904857]
0.0,[-0.64699835]
4.000000000000001,[-0.6320765]
7.999999999999998,[-0.51677567]
11.999999999999995,[-0.38219258]
11.999999999999995,[-0.4162815]
11.999999999999995,[-0.44796625]
-11.999999999999998,[-0.09378989]
-11.999999999999998,[-0.10031766]
-11.999999999999998,[-0.10843205]
-11.999999999999998,[-0.11710623]
-11.999999999999998,[-0.12438676]
-11.999999999999998,[-0.13166729]
-11.999999999999998,[-0.13894781]
-11.999999999999998,[-0.14622788]
-11.999999999999998,[-0.15350889]
-11.999999999999998,[-0.16078848]
-11.999999999999998,[-0.168069]
-11.999999999999998,[-0.17563853]
-11.999999999999998,[-0.18416168]
-11.999999999999998,[-0.19091739]
-11.999999999999998,[-0.19767308]
-11.999999999999998,[-0.20442972]
-11.999999999999998,[-0.20950651]
-11.999999999999998,[-0.21418199]
-11.999999999999998,[-0.22038488]
-11.999999999999998,[-0.22658919]
-11.999999999999998,[-0.23279302]
-11.999999999999998,[-0.23899685]
-11.999999999999998,[-0.24520023]
-11.999999999999998,[-0.2514036]
-11.999999999999998,[-0.25752306]
-11.999999999999998,[-0.26337823]
-11.999999999999998,[-0.2692339]
-11.999999999999998,[-0.27508816]
-11.999999999999998,[-0.28094473]
-11.999999999999998,[-0.28664333]
-11.999999999999998,[-0.29176393]
-11.999999999999998,[-0.29688546]
-11.999999999999998,[-0.30200607]
-11.999999999999998,[-0.30987343]
-11.999999999999998,[-0.3188282]
-11.999999999999998,[-0.32778203]
-11.999999999999998,[-0.33636254]
-11.999999999999998,[-0.34892726]
-11.999999999999998,[-0.36249694]
-11.999999999999998,[-0.37606567]
-11.999999999999998,[-0.38963532]
-11.999999999999998,[-0.40320498]
-11.999999999999998,[-0.41677323]
-11.999999999999998,[-0.43025482]
-11.999999999999998,[-0.44272214]
-11.999999999999998,[-0.45184657]
-11.999999999999998,[-0.459431]
-11.999999999999998,[-0.46489]
-11.999999999999998,[-0.47034946]
-11.999999999999998,[-0.47555256]
-11.999999999999998,[-0.4787123]
-11.999999999999998,[-0.47835943]
-11.999999999999998,[-0.47497693]
-11.999999999999998,[-0.47159395]
-11.999999999999998,[-0.46821144]
-11.999999999999998,[-0.46482846]
-11.999999999999998,[-0.46144643]
-11.999999999999998,[-0.45796183]
-11.999999999999998,[-0.45264453]
-11.999999999999998,[-0.44369116]
11.999999999999995,[-0.10013542]
11.999999999999995,[-0.11425088]
11.999999999999995,[-0.12456948]
11.999999999999995,[-0.12141815]
11.999999999999995,[-0.11513741]
11.999999999999995,[-0.10991146]
11.999999999999995,[-0.12032887]
11.999999999999995,[-0.13598481]
11.999999999999995,[-0.1488017]
11.999999999999995,[-0.15710719]
11.999999999999995,[-0.16541222]
11.999999999999995,[-0.1737177]
11.999999999999995,[-0.1820232]
11.999999999999995,[-0.18976144]
11.999999999999995,[-0.1968504]
11.999999999999995,[-0.2039389]
11.999999999999995,[-0.20770036]
11.999999999999995,[-0.20883438]
11.999999999999995,[-0.20996794]
11.999999999999995,[-0.20763789]
11.999999999999995,[-0.20496713]
11.999999999999995,[-0.20229682]
11.999999999999995,[-0.19962512]
11.999999999999995,[-0.20852302]
11.999999999999995,[-0.21800822]
11.999999999999995,[-0.22749388]
11.999999999999995,[-0.23697908]
11.999999999999995,[-0.24646524]
11.999999999999995,[-0.2559509]
11.999999999999995,[-0.26543608]
11.999999999999995,[-0.27449387]
11.999999999999995,[-0.2833009]
11.999999999999995,[-0.29246214]
11.999999999999995,[-0.3016248]
11.999999999999995,[-0.3140637]
11.999999999999995,[-0.32844856]
11.999999999999995,[-0.34365797]
11.999999999999995,[-0.3618579]
11.999999999999995,[-0.38170177]
11.999999999999995,[-0.4005566]
11.999999999999995,[-0.4172039]
11.999999999999995,[-0.43357345]
11.999999999999995,[-0.44410786]
11.999999999999995,[-0.45464224]
11.999999999999995,[-0.46517617]
11.999999999999995,[-0.47571057]
11.999999999999995,[-0.485963]
11.999999999999995,[-0.49382102]
11.999999999999995,[-0.5016786]
11.999999999999995,[-0.5095366]
11.999999999999995,[-0.5173937]
11.999999999999995,[-0.5218263]
11.999999999999995,[-0.5248024]
11.999999999999995,[-0.5253212]
11.999999999999995,[-0.5252839]
11.999999999999995,[-0.52524614]
11.999999999999995,[-0.52520883]
11.999999999999995,[-0.503309]
11.999999999999995,[-0.47563833]
-11.0,[-0.09748329]
-10.0,[-0.10117763]
-9.000000000000002,[-0.10576501]
-7.999999999999998,[-0.11683402]
-6.999999999999998,[-0.13876231]
-5.999999999999999,[-0.1604114]
-5.0,[-0.1820605]
-4.000000000000001,[-0.20323601]
-2.999999999999998,[-0.22200087]
-1.9999999999999984,[-0.23096916]
-0.9999999999999992,[-0.23993744]
0.0,[-0.24715926]
0.9999999999999992,[-0.23758969]
2.0000000000000027,[-0.2260541]
2.999999999999998,[-0.21541063]
4.000000000000001,[-0.19650084]
5.000000000000004,[-0.18145968]
5.999999999999999,[-0.16641854]
7.000000000000003,[-0.14951484]
7.999999999999998,[-0.13504188]
9.000000000000002,[-0.12056798]
10.000000000000005,[-0.10604327]
11.0,[-0.09397913]
11.999999999999995,[-0.0868319]
-12.999999999999998,[-0.08982335]
-12.999999999999998,[-0.09551959]
-14.000000000000002,[-0.09353074]
-12.999999999999998,[-0.10280619]
-12.999999999999998,[-0.10853832]
-12.999999999999998,[-0.11581885]
-14.000000000000002,[-0.10725048]
-12.999999999999998,[-0.13037898]
-12.999999999999998,[-0.13766044]
-12.999999999999998,[-0.14494005]
-14.000000000000002,[-0.13637213]
-12.999999999999998,[-0.1595011]
-12.999999999999998,[-0.16678117]
-12.999999999999998,[-0.1740617]
-14.000000000000002,[-0.16549379]
-12.999999999999998,[-0.19001174]
-12.999999999999998,[-0.19394799]
-12.999999999999998,[-0.19694036]
-14.000000000000002,[-0.18159671]
-12.999999999999998,[-0.20811099]
-12.999999999999998,[-0.2143139]
-12.999999999999998,[-0.22051819]
-14.000000000000002,[-0.20413513]
-12.999999999999998,[-0.23292585]
-12.999999999999998,[-0.23908354]
-12.999999999999998,[-0.24493875]
-14.000000000000002,[-0.21716365]
-12.999999999999998,[-0.25040987]
-12.999999999999998,[-0.25410092]
-12.999999999999998,[-0.25922108]
-14.000000000000002,[-0.24197245]
-12.999999999999998,[-0.27082938]
-12.999999999999998,[-0.2817441]
-12.999999999999998,[-0.29069796]
-14.000000000000002,[-0.2803206]
-12.999999999999998,[-0.30860564]
-12.999999999999998,[-0.3175604]
-12.999999999999998,[-0.32567617]
-14.000000000000002,[-0.31498984]
-12.999999999999998,[-0.34851477]
-12.999999999999998,[-0.3620835]
-12.999999999999998,[-0.37565315]
-14.000000000000002,[-0.36167052]
-12.999999999999998,[-0.402792]
-12.999999999999998,[-0.4163612]
-12.999999999999998,[-0.42909187]
-14.000000000000002,[-0.40402904]
-12.999999999999998,[-0.44239354]
-12.999999999999998,[-0.44765815]
-12.999999999999998,[-0.45248607]
-14.000000000000002,[-0.42760316]
-12.999999999999998,[-0.45561826]
-12.999999999999998,[-0.45223528]
-12.999999999999998,[-0.44885325]
-14.000000000000002,[-0.42272958]
-12.999999999999998,[-0.44208822]
-12.999999999999998,[-0.43870527]
-12.999999999999998,[-0.43532273]
-14.000000000000002,[-0.40931138]
-12.999999999999998,[-0.425955]
-12.999999999999998,[-0.41487575]
-12.999999999999998,[-0.40367016]
-14.000000000000002,[-0.372355]
-18.0,[-0.16954935]
-18.0,[-0.14331055]
-16.0,[-0.1482876]
-16.0,[-0.2137555]
-14.000000000000002,[-0.25266534]
-14.000000000000002,[-0.21474597]
-11.999999999999998,[-0.24241012]
-11.999999999999998,[-0.2812039]
-10.0,[-0.26932245]
-10.0,[-0.31108576]
-7.999999999999998,[-0.23147534]
-7.999999999999998,[-0.33147916]
-5.999999999999999,[-0.29631543]
-5.999999999999999,[-0.34421405]
-4.000000000000001,[-0.31171545]
-4.000000000000001,[-0.35419983]
-1.9999999999999984,[-0.32613948]
-1.9999999999999984,[-0.3642015]
0.0,[-0.2948677]
0.0,[-0.37296933]
2.0000000000000027,[-0.33444032]
2.0000000000000027,[-0.37091848]
4.000000000000001,[-0.31771097]
4.000000000000001,[-0.35617563]
5.999999999999999,[-0.2956862]
5.999999999999999,[-0.3371316]
7.999999999999998,[-0.21147066]
7.999999999999998,[-0.31899834]
10.000000000000005,[-0.23780875]
10.000000000000005,[-0.29246262]
11.999999999999995,[-0.20949438]
11.999999999999995,[-0.2641473]
14.000000000000002,[-0.23115699]
14.000000000000002,[-0.17708763]
16.0,[-0.19863045]
16.0,[-0.11572377]
18.0,[-0.13406307]
18.0,[-0.17926434]
14.000000000000002,[-0.3166352]
12.999999999999998,[-0.37280062]
12.999999999999998,[-0.4095039]
12.999999999999998,[-0.44154894]
14.000000000000002,[-0.43234575]
12.999999999999998,[-0.49650297]
12.999999999999998,[-0.4965412]
12.999999999999998,[-0.49638876]
14.000000000000002,[-0.46557564]
12.999999999999998,[-0.49505338]
12.999999999999998,[-0.48947415]
12.999999999999998,[-0.48093653]
14.000000000000002,[-0.43207213]
12.999999999999998,[-0.46485132]
12.999999999999998,[-0.45728785]
12.999999999999998,[-0.45198452]
14.000000000000002,[-0.40856004]
12.999999999999998,[-0.43504494]
12.999999999999998,[-0.4245101]
12.999999999999998,[-0.4139752]
14.000000000000002,[-0.36601183]
12.999999999999998,[-0.38630083]
12.999999999999998,[-0.36755276]
12.999999999999998,[-0.34781283]
14.000000000000002,[-0.30195573]
12.999999999999998,[-0.307081]
12.999999999999998,[-0.29288957]
12.999999999999998,[-0.28372738]
14.000000000000002,[-0.25939447]
12.999999999999998,[-0.26540253]
12.999999999999998,[-0.25701594]
12.999999999999998,[-0.24912295]
14.000000000000002,[-0.22782342]
12.999999999999998,[-0.23333742]
12.999999999999998,[-0.2254449]
12.999999999999998,[-0.21719255]
14.000000000000002,[-0.19625193]
12.999999999999998,[-0.20017745]
12.999999999999998,[-0.19079852]
12.999999999999998,[-0.18585224]
14.000000000000002,[-0.17671663]
12.999999999999998,[-0.18902034]
12.999999999999998,[-0.19085446]
12.999999999999998,[-0.18955868]
14.000000000000002,[-0.16536841]
12.999999999999998,[-0.18569982]
12.999999999999998,[-0.18039277]
12.999999999999998,[-0.17508572]
14.000000000000002,[-0.14398453]
12.999999999999998,[-0.16142797]
12.999999999999998,[-0.15312295]
12.999999999999998,[-0.14481746]
14.000000000000002,[-0.1111471]
12.999999999999998,[-0.12697457]
12.999999999999998,[-0.11024985]
12.999999999999998,[-0.11192875]
14.000000000000002,[-0.09471231]
12.999999999999998,[-0.1038167]
12.999999999999998,[-0.11024147]
12.999999999999998,[-0.11339325]
14.000000000000002,[-0.10371602]
12.999999999999998,[-0.09979376]
12.999999999999998,[-0.08649071]
12.999999999999998,[-0.0731872]
11.999999999999995,[-0.07129156]
11.0,[-0.08006641]
10.000000000000005,[-0.07962316]
9.000000000000002,[-0.1051917]
7.999999999999998,[-0.12013637]
7.000000000000003,[-0.13565853]
5.999999999999999,[-0.12932838]
5.000000000000004,[-0.16008933]
4.000000000000001,[-0.17513001]
2.999999999999998,[-0.18957222]
2.0000000000000027,[-0.18023103]
0.9999999999999992,[-0.21535704]
0.0,[-0.2236751]
-0.9999999999999992,[-0.21659361]
-1.9999999999999984,[-0.18428147]
-2.999999999999998,[-0.19865656]
-4.000000000000001,[-0.18866098]
-5.0,[-0.16862273]
-5.999999999999999,[-0.13364263]
-6.999999999999998,[-0.1253777]
-7.999999999999998,[-0.10725468]
-9.000000000000002,[-0.10077211]
-10.0,[-0.09101378]
-11.0,[-0.09123984]
-11.999999999999998,[-0.08726212]
-12.999999999999998,[-0.08327834]
-14.000000000000002,[-0.07154512]
-14.000000000000002,[-0.08350719]
-14.000000000000002,[-0.09657579]
-14.000000000000002,[-0.12181108]
-14.000000000000002,[-0.15093319]
-14.000000000000002,[-0.17440149]
-14.000000000000002,[-0.192779]
-14.000000000000002,[-0.21226351]
-14.000000000000002,[-0.22427405]
-14.000000000000002,[-0.26233]
-14.000000000000002,[-0.29831126]
-14.000000000000002,[-0.33453214]
-14.000000000000002,[-0.38880986]
-14.000000000000002,[-0.4165812]
-14.000000000000002,[-0.42911425]
-14.000000000000002,[-0.41600975]
-14.000000000000002,[-0.39461982]
-20.0,[-0.19740461]
-20.0,[-0.18749292]
-20.0,[-0.16381581]
-20.0,[-0.13999142]
-20.0,[-0.11577038]
-20.0,[-0.0947193]
20.000000000000007,[-0.11598711]
20.000000000000007,[-0.1541437]
-20.0,[-0.07804306]
-11.999999999999998,[-0.20361637]
-4.000000000000001,[-0.26115167]
4.000000000000001,[-0.2673625]
11.999999999999995,[-0.154841]
20.000000000000007,[-0.0895861]
20.000000000000007,[-0.1728913]
20.000000000000007,[-0.1675852]
20.000000000000007,[-0.16228001]
20.000000000000007,[-0.17819649]
14.000000000000002,[-0.36610922]
14.000000000000002,[-0.46736035]
14.000000000000002,[-0.45588022]
14.000000000000002,[-0.41682592]
14.000000000000002,[-0.38921255]
14.000000000000002,[-0.3305945]
14.000000000000002,[-0.2756256]
14.000000000000002,[-0.24360894]
14.000000000000002,[-0.2120379]
14.000000000000002,[-0.18151376]
14.000000000000002,[-0.17066707]
14.000000000000002,[-0.15654135]
14.000000000000002,[-0.1274621]
14.000000000000002,[-0.10315856]
14.000000000000002,[-0.09906431]
14.000000000000002,[-0.08681931]
14.000000000000002,[-0.06106759]
11.999999999999995,[-0.05813067]
7.999999999999998,[-0.1064404]
4.000000000000001,[-0.15375964]
0.0,[-0.20019096]
-4.000000000000001,[-0.16634396]
-7.999999999999998,[-0.10009533]
-11.999999999999998,[-0.0814815]
-20.0,[-0.02944249]
-20.0,[-0.040106]
-20.0,[-0.04336266]
-20.0,[-0.04305923]
-20.0,[-0.0427558]
-20.0,[-0.04245283]
-20.0,[-0.04196202]
-20.0,[-0.04230694]
-20.0,[-0.04292919]
-20.0,[-0.04846696]
-20.0,[-0.06084666]
-20.0,[-0.06897223]
-20.0,[-0.08304435]
-20.0,[-0.097116]
-20.0,[-0.11113825]
-20.0,[-0.12499176]
-20.0,[-0.13884482]
-20.0,[-0.15115367]
-20.0,[-0.16123873]
-20.0,[-0.17361283]
-20.0,[-0.18644652]
-20.0,[-0.19914597]
-20.0,[-0.19765957]
-20.0,[-0.19425282]
-20.0,[-0.19084607]
-20.0,[-0.18743932]
-20.0,[-0.19040793]
-20.0,[-0.19852091]
-20.0,[-0.20449403]
-20.0,[-0.20826201]
-20.0,[-0.20814082]
-20.0,[-0.2029694]
-20.0,[-0.00533704]
-22.0,[0.00245713]
-23.999999999999996,[0.00085188]
-20.0,[-0.01077413]
-22.0,[-0.00829167]
-20.0,[-0.01878039]
-22.0,[-0.01651186]
-22.0,[-0.02473252]
-23.999999999999996,[-0.01362109]
-22.0,[-0.02387349]
-22.0,[-0.02357006]
-22.0,[-0.02326616]
-23.999999999999996,[-0.00761489]
-22.0,[-0.02316315]
-22.0,[-0.02506765]
-22.0,[-0.02951707]
-23.999999999999996,[-0.02486163]
-22.0,[-0.05219672]
-22.0,[-0.06626883]
-22.0,[-0.08034095]
-23.999999999999996,[-0.07562771]
-22.0,[-0.10816125]
-22.0,[-0.12201476]
-22.0,[-0.13244615]
-23.999999999999996,[-0.10441004]
-22.0,[-0.1427596]
-22.0,[-0.14791565]
-22.0,[-0.14272512]
-23.999999999999996,[-0.0911853]
-22.0,[-0.12424506]
-22.0,[-0.12083785]
-22.0,[-0.11743157]
-23.999999999999996,[-0.04513618]
-22.0,[-0.11061715]
-22.0,[-0.11634648]
-22.0,[-0.12343778]
-23.999999999999996,[-0.05853059]
-22.0,[-0.12904872]
-22.0,[-0.12461422]
-22.0,[-0.12088493]
-23.999999999999996,[-0.07454403]
-22.0,[-0.09159081]
-22.0,[-0.07259572]
-22.0,[-0.06120742]
-23.999999999999996,[-0.0429497]
21.999999999999996,[-0.09834231]
21.999999999999996,[-0.12600274]
24.000000000000004,[-0.05978394]
21.999999999999996,[-0.13059619]
24.000000000000004,[-0.10421848]
21.999999999999996,[-0.14120749]
21.999999999999996,[-0.14651313]
21.999999999999996,[-0.1518188]
20.000000000000007,[-0.1905776]
24.000000000000004,[-0.12544015]
20.000000000000007,[-0.20826107]
21.999999999999996,[-0.17407754]
20.000000000000007,[-0.23262894]
21.999999999999996,[-0.18329333]
20.000000000000007,[-0.23003228]
21.999999999999996,[-0.19005463]
20.000000000000007,[-0.23843846]
24.000000000000004,[-0.13488759]
20.000000000000007,[-0.23170513]
21.999999999999996,[-0.17653997]
20.000000000000007,[-0.22494803]
21.999999999999996,[-0.1697824]
20.000000000000007,[-0.21819048]
21.999999999999996,[-0.16302484]
20.000000000000007,[-0.21143384]
24.000000000000004,[-0.10787879]
20.000000000000007,[-0.20467629]
21.999999999999996,[-0.14695407]
20.000000000000007,[-0.1905459]
21.999999999999996,[-0.12987186]
20.000000000000007,[-0.17082554]
21.999999999999996,[-0.11042604]
20.000000000000007,[-0.15135455]
24.000000000000004,[-0.06271014]
20.000000000000007,[-0.13072157]
21.999999999999996,[-0.06936049]
20.000000000000007,[-0.11338113]
21.999999999999996,[-0.06072687]
20.000000000000007,[-0.09741477]
21.999999999999996,[-0.05889834]
20.000000000000007,[-0.08512736]
24.000000000000004,[-0.05161408]
20.000000000000007,[-0.08361952]
21.999999999999996,[-0.06400171]
20.000000000000007,[-0.08199561]
21.999999999999996,[-0.0650868]
20.000000000000007,[-0.07848446]
21.999999999999996,[-0.06793748]
20.000000000000007,[-0.07696962]
24.000000000000004,[-0.05991445]
20.000000000000007,[-0.07873896]
21.999999999999996,[-0.0662115]
20.000000000000007,[-0.07630916]
21.999999999999996,[-0.06358082]
20.000000000000007,[-0.0738789]
21.999999999999996,[-0.06073992]
20.000000000000007,[-0.07127105]
24.000000000000004,[-0.05454168]
20.000000000000007,[-0.06828846]
21.999999999999996,[-0.05859631]
20.000000000000007,[-0.06622735]
21.999999999999996,[-0.04822458]
20.000000000000007,[-0.05396278]
21.999999999999996,[-0.04279122]
20.000000000000007,[-0.04815793]
24.000000000000004,[-0.03198928]
20.000000000000007,[-0.04742195]
21.999999999999996,[-0.03307623]
20.000000000000007,[-0.05191845]
20.000000000000007,[-0.05613808]
21.999999999999996,[-0.03878227]
-23.999999999999996,[-0.00216428]
24.000000000000004,[-0.0199023]
20.000000000000007,[-0.03965108]
21.999999999999996,[-0.03854921]
24.000000000000004,[-0.01968416]
20.000000000000007,[-0.02587121]
14.000000000000002,[-0.00525687]
11.999999999999995,[-0.01003909]
10.000000000000005,[-0.01855806]
7.999999999999998,[-0.0270966]
5.999999999999999,[-0.03563607]
4.000000000000001,[-0.04047702]
2.0000000000000027,[-0.04455682]
0.0,[-0.04883052]
-1.9999999999999984,[-0.04382177]
-4.000000000000001,[-0.03734341]
-5.999999999999999,[-0.03333678]
-7.999999999999998,[-0.04054787]
-10.0,[-0.0430047]
-11.999999999999998,[-0.04006125]
-14.000000000000002,[-0.0273441]
-16.0,[-0.01536851]
-18.0,[-0.00731938]
-20.0,[0.00124667]
-22.0,[0.00181951]
-23.999999999999996,[0.00268226]
-23.999999999999996,[-0.01130596]
-23.999999999999996,[-0.01090557]
-23.999999999999996,[-0.01329482]
-23.999999999999996,[-0.04949332]
-23.999999999999996,[-0.09235243]
-23.999999999999996,[-0.10656577]
-23.999999999999996,[-0.06975761]
-23.999999999999996,[-0.04582322]
-23.999999999999996,[-0.06800693]
-23.999999999999996,[-0.0559852]
-35.0,[0.0017454]
-35.0,[-0.01193333]
24.000000000000004,[-0.09528048]
24.000000000000004,[-0.11482885]
24.000000000000004,[-0.13615307]
24.000000000000004,[-0.12137294]
24.000000000000004,[-0.08487893]
24.000000000000004,[-0.04955065]
24.000000000000004,[-0.05704419]
24.000000000000004,[-0.05483998]
24.000000000000004,[-0.04244491]
24.000000000000004,[-0.02748067]
35.00000000000001,[-0.04069655]
35.00000000000001,[-0.0179125]
21.999999999999996,[-0.00693717]
20.000000000000007,[-0.01117964]
16.0,[-0.00228313]
18.0,[-0.00179093]
20.000000000000007,[-0.00040241]
16.0,[-0.0046859]
14.000000000000002,[-0.00348521]
11.999999999999995,[-0.00350852]
10.000000000000005,[-0.00519814]
7.999999999999998,[-0.00662815]
5.999999999999999,[-0.02167862]
4.000000000000001,[-0.02632659]
2.0000000000000027,[-0.0312025]
0.0,[-0.01789432]
-1.9999999999999984,[-0.02665799]
-4.000000000000001,[-0.01923297]
-5.999999999999999,[-0.01712805]
-7.999999999999998,[-0.00474183]
-10.0,[-0.0255743]
-11.999999999999998,[-0.02598494]
-14.000000000000002,[-0.01878784]
-16.0,[0.00274705]
-18.0,[0.00188709]
-20.0,[0.00031306]
-22.0,[-0.00185851]
-23.999999999999996,[-0.00483365]
-35.0,[-0.00376301]
35.00000000000001,[-0.00633031]
24.000000000000004,[0.00172582]
24.000000000000004,[-0.00247097]
21.999999999999996,[0.00098705]
20.000000000000007,[-0.00264902]
18.0,[-0.00348428]
24.000000000000004,[-0.0201153]
35.00000000000001,[-0.02325404]
11.999999999999995,[-0.00474043]
4.000000000000001,[-0.01222045]
-4.000000000000001,[-0.00455912]
-11.999999999999998,[-0.0086804]
-20.0,[-0.00158817]
-23.999999999999996,[-0.0172264]
-35.0,[-0.02734736]
21.999999999999996,[-0.00158398]
20.000000000000007,[-0.00425615]
-14.000000000000002,[-0.34479293]
-14.000000000000002,[-0.31253767]
-14.000000000000002,[-0.28246704]
14.000000000000002,[-0.2714889]
14.000000000000002,[-0.28808683]
14.000000000000002,[-0.30485815]
-16.0,[-0.32267308]
-18.0,[-0.26881814]
18.0,[-0.22277692]
16.0,[-0.2726593]
-16.0,[-0.05948004]
-18.0,[-0.04672839]
-23.999999999999996,[-0.03737324]
-23.999999999999996,[-0.02987923]
-23.999999999999996,[-0.01496067]
-20.0,[0.00067988]
-16.0,[-0.00014838]
-11.999999999999998,[0.00037692]
-7.999999999999998,[0.00128535]
-4.000000000000001,[0.00080573]
0.0,[-0.00500238]
4.000000000000001,[-0.01240782]
7.999999999999998,[-0.01321278]
11.999999999999995,[-0.01409232]
16.0,[-0.01776708]
20.000000000000007,[-0.01969535]
24.000000000000004,[-0.01188066]
24.000000000000004,[-0.00373178]
24.000000000000004,[-0.01923018]
18.0,[-0.06384603]
16.0,[-0.06293806]
-14.000000000000002,[-0.03909595]
-14.000000000000002,[-0.05197858]
-14.000000000000002,[-0.06051293]
14.000000000000002,[-0.04300982]
14.000000000000002,[-0.03100394]
14.000000000000002,[-0.01914255]
-27.666666031,[-0.01751492]
-31.333333969,[-0.00323305]
-35.0,[-0.00149775]
-35.0,[-0.00381708]
-35.0,[-0.00604971]
-31.333333969,[-0.00632005]
-27.666666031,[-0.00374576]
31.333333968999998,[-0.04411635]
27.66666603099999,[-0.04988717]
27.66666603099999,[-0.01923903]
31.333333968999998,[-0.01857623]
35.00000000000001,[-0.01144066]
35.00000000000001,[-0.00513895]
35.00000000000001,[-0.02092586]
-27.666666031,[-0.00340551]
-31.333333969,[-0.00209343]
-35.0,[-0.00364369]
-35.0,[-0.00333699]
-35.0,[-0.00443327]
-35.0,[-0.0056167]
-35.0,[-0.00680014]
-35.0,[-0.00798311]
-35.0,[-0.00923273]
-35.0,[-0.01068557]
-35.0,[-0.01213748]
-35.0,[-0.01397346]
-35.0,[-0.01821547]
-35.0,[-0.01831428]
-35.0,[-0.01534101]
-35.0,[-0.01231227]
-35.0,[-0.00985498]
-35.0,[-0.00758879]
